geoid,key,km2,lndkm2,cnt,resdn1,intden,entrpy,rtlfar,sub07d,walk,walk_c,treepct,mhhi
36005016000,36005016000.0,0.4940833208,0.4940833208,36,-0.4537,0.1354,-0.2275,-0.2903,-0.6993,-1.5355,2,0.17246978320999998,73325
36047017700,36047017700.0,2.5450528969999997,2.3305482019999997,19,0.0492,-1.5386,-0.7056,0.6723,0.2114,-1.3113,2,0.57529688685,0
36081038302,36081038302.0,5.047438447,4.414373225,245,0.2035,-0.9882,-0.5038,-0.7735,-0.4151,-2.4772,2,0.22109005765999998,97500
36085022800,36085022800.0,9.963604598,8.440623466,21,-1.6726,-2.8182,-0.2385,-1.4513,-0.6993,-6.3451,1,0.1361366836,250001
36061004300,36061004300.0,0.1492380855,0.1492380855,14,1.2690000000000001,1.8476,2.6659,2.0657,3.8289999999999997,11.6772,5,0.08033309951,65824
36061009100,36061009100.0,0.1790616948,0.1790616948,10,0.9179,-0.7397,2.4359,3.286,3.8076,9.7076,5,0.05624505504,108976
36061002201,36061002201.0,0.1616586011,0.1616586011,8,1.5521,0.2062,0.0559,0.2279,0.5519,2.5941,5,0.23220736725000002,41166
36061002202,36061002202.0,0.0561064413,0.0561064413,4,1.624,0.0755,0.034,0.1833,0.348,2.2649,4,0.12160758705999998,95125
36061003602,36061003602.0,0.08926171449999999,0.08926171449999999,7,1.5991,1.0734,2.1858,1.7529,2.6105,9.2217,5,0.17772967245000001,60089
36061023501,36061023501.0,0.17921620300000002,0.17921620300000002,15,0.5789,-0.3158,-0.6515,-0.7171,1.4566,0.3511,3,0.24977995315999998,34679
36047017400,36047017400.0,0.16708542880000002,0.16708542880000002,8,0.2645,-0.1056,-0.2878,0.2286,-0.4521,-0.3524,3,0.14587361972000001,51080
36047030000,36047030000.0,0.1950461657,0.1950461657,11,0.2318,0.0832,0.1187,0.4225,0.2756,1.1318,4,0.08524997787000001,41213
36047034500,36047034500.0,0.16350191449999998,0.16350191449999998,6,0.0749,-0.5421,0.0927,0.5038,0.2342,0.3636,3,0.24192556966999995,42095
36047036300,36047036300.0,0.2588044059,0.2588044059,17,0.6079,0.0271,0.6908,0.5856,0.0495,1.9608,4,0.12633397143,34005
36047044900,36047044900.0,2.135991385,2.1359303659999997,99,0.8849,-0.7453,0.4521,-0.1112,-0.2873,0.1932,3,0.03627412695,23385
36047075200,36047075200.0,0.1731798757,0.1731798757,8,-0.6990000000000001,-0.8716,0.3585,0.5961,0.0326,-0.5834,3,0.19146061129,49893
36047053400,36047053400.0,0.1733675923,0.1733675923,9,-0.7017,-0.7995,0.0233,1.0416,0.1493,-0.2869,3,0.16889451435,35682
