geoid,cdeligibil,ct10alcall,ct10alccl1,ct10alccl2,ct10alccl3,ct10alccl4,ct10alccl5
36005009300,,26,4,11,4,0,7
36047026100,,11,0,9,0,0,2
36047009800,,15,3,6,0,0,6
36061004800,,43,22,12,0,1,8
36061006300,,60,38,7,0,4,11
36061023100,,11,1,8,0,1,1
36047034000,,1,0,1,0,0,0
36047034100,,0,0,0,0,0,0
36047041500,,8,2,4,0,1,1
36047036300,,10,0,5,0,1,4
36047044900,,19,3,2,9,2,3
36047057800,,15,4,10,0,0,1
36047059100,,22,6,12,0,0,4
36047058200,,12,5,6,0,0,1
36047075600,,0,0,0,0,0,0
36047086200,,6,1,3,0,0,2
36047089600,,8,0,6,0,0,2
36047105804,,4,1,3,0,0,0
36047112600,,6,0,6,0,0,0
36047118201,,2,1,1,0,0,0
36005005001,,7,1,5,0,0,1
36005017701,,18,0,11,0,2,5
36005014100,,18,1,9,0,1,7
36005044901,,8,3,2,0,2,1
36005022404,,9,1,5,0,0,3
36005031900,,1,1,0,0,0,0
36005036700,,3,0,3,0,0,0
36005046000,,2,1,1,0,0,0
36081006100,,51,30,10,0,5,6
36081028300,,24,11,10,0,1,2
36081032700,,13,5,2,1,0,5
36081032900,,10,4,5,0,0,1
36081044601,,11,1,9,0,0,1
36081079701,,4,1,3,0,0,0
36081085500,,3,0,3,0,0,0
36081093401,,8,5,3,0,0,0
36081117100,,95,54,9,0,6,26
36081109700,,6,4,2,0,0,0
36081109900,,16,7,5,0,1,3
36047070202,,2,1,0,0,0,1
36005026601,,11,2,4,0,1,4
36005021301,,7,2,3,0,1,1
36005021502,,16,3,10,0,0,3
36081092900,,11,4,6,1,0,0
36081094500,,20,5,7,6,1,1
36081141700,,1,1,0,0,0,0
36047021100,,8,2,4,1,0,1
36047017700,,3,2,1,0,0,0
36047105801,,0,0,0,0,0,0
36047049100,,20,4,13,0,1,2
36047050900,,3,2,0,0,0,1
36081097203,,2,0,2,0,0,0
36047070203,,0,0,0,0,0,0
36047070600,,0,0,0,0,0,0
36081138502,,2,2,0,0,0,0
36081150701,,4,1,3,0,0,0
36047004900,,4,0,2,0,2,0
36047006300,,7,2,3,0,0,2
36047009200,,17,4,6,0,1,6
36061010602,,30,18,6,0,0,6
36081071600,,108,82,0,0,7,19
36081088400,,6,2,4,0,0,0
36085022800,,10,2,5,0,2,1
36061007800,,51,32,10,0,3,6
36085024800,,34,14,12,3,0,5
36061014300,,4,2,2,0,0,0
36085015603,,23,11,5,0,0,7
36085000900,,1,0,1,0,0,0
36061016002,,7,4,1,0,0,2
36047021000,,6,2,2,0,0,2
36005000100,,0,0,0,0,0,0
36081011400,,4,0,2,0,1,1
36005015900,,6,2,3,0,0,1
36081010701,,3,1,1,0,0,1
36081026902,,9,2,6,0,0,1
36061029900,,14,2,3,3,3,3
36005043500,,7,2,3,0,2,0
36085029102,,13,8,2,1,0,2
36005051600,,38,25,5,2,1,5
36081021900,,5,3,0,1,0,1
36081098100,,19,10,4,1,0,4
36085015400,,0,0,0,0,0,0
36047001800,,30,5,8,13,0,4
36061007000,,59,29,15,0,2,13
36061005000,,65,49,9,0,0,7
36047114202,,0,0,0,0,0,0
36085022600,,48,22,14,3,1,8
36081098700,,16,6,6,1,0,3
36047051001,,1,0,1,0,0,0
36047058000,,7,1,4,0,1,1
36047068000,,6,1,2,0,0,3
36047074800,,2,0,2,0,0,0
36047075000,,3,0,3,0,0,0
36005033202,,3,1,2,0,0,0
36047075200,,0,0,0,0,0,0
36047075400,,0,0,0,0,0,0
36081089200,,31,19,9,0,1,2
36047011000,,6,1,4,0,0,1
36081100801,,0,0,0,0,0,0
36081101002,,1,0,1,0,0,0
36047011200,,6,0,5,0,0,1
36047015300,,12,5,5,0,0,2
36047015500,,12,8,1,0,1,2
36085032300,,9,3,5,0,0,1
36047015700,,17,10,7,0,0,0
36081066400,,1,1,0,0,0,0
36081038302,,5,4,0,0,0,1
36047026000,,9,2,6,0,0,1
36047051002,,9,0,6,0,0,3
36085019800,,11,4,5,0,0,2
36047027700,,7,0,5,0,0,2
36047031702,,12,2,4,0,3,3
36047054200,,5,2,3,0,0,0
36061005502,,50,32,1,5,1,11
36061004100,,119,82,14,0,4,19
36061004300,,71,45,10,1,4,11
36005050400,,3,1,0,0,0,2
36061011900,,106,90,4,1,5,6
36061004500,,32,20,3,0,2,7
36061013900,,58,36,12,0,3,7
36061004900,,60,42,5,2,0,11
36061029700,,1,0,1,0,0,0
36061005400,,54,32,5,5,1,11
36085007700,,4,0,4,0,0,0
36085011401,,9,4,4,1,0,0
36085001100,,14,3,6,0,1,4
36085001700,,6,2,4,0,0,0
