geoid,t10km2,t10lndkm2,t10cnt,t10resdn1,t10intden,t10entrpy,t10rtlfar,t10sub07d,t10walk,t10walk_c,t10treepc,t10mhhi,t10totpop,t10cnthomicide20032011,t10ratehomicid20032011,t10pedkil19952013,t10pedinj19952013,t10bikkil19952013,t10bikinj19952013,t10cntcafeall,t10pcage65up,t10pcpov,t10pcblack,t10pcasian,t10pcunemploy,t10subwaystopdoittcount,t10bikertlenall,t10popdens
36005016000,0.4940833208,0.4940833208,36,-0.4537,0.1354,-0.2275,-0.2903,-0.6993,-1.5355,2,0.17246978320999998,83021.0,4050.0,1.0,24.691358024691358,0.0,12.0,0.0,4.0,0.0,0.1338,0.0254,0.0306,0.0084,0.0459,0.0,0.0,8196.998015319363
36047017700,2.5450528969999997,2.3305482019999997,19,0.0492,-1.5386,-0.7056,0.6723,0.2114,-1.3113,2,0.57529688685,0.0,0.0,3.0,,2.0,191.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12004.8263667,0.0
36081038302,5.047438447,4.414373225,245,0.2035,-0.9882,-0.5038,-0.7735,-0.4151,-2.4772,2,0.22109005765999998,102500.0,105.0,1.0,952.3809523809523,7.0,108.0,1.0,70.0,0.0,0.419,0.0,0.0857,0.581,0.0,1.0,11081.3743663,23.785936224275645
36085022800,9.963604598,8.440623466,21,-1.6726,-2.8182,-0.2385,-1.4513,-0.6993,-6.3451,1,0.1361366836,250001.0,198.0,1.0,505.05050505050514,1.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.457982789727726
36061004300,0.1492380855,0.1492380855,14,1.2690000000000001,1.8476,2.6659,2.0657,3.8289999999999997,11.6772,5,0.08033309951,69381.0,4565.0,1.0,21.90580503833516,4.0,200.0,1.0,139.0,10.0,0.1168,0.2263,0.0007,0.2442,0.0767,1.0,1071.67828152,30588.706526927403
36061009100,0.1790616948,0.1790616948,10,0.9179,-0.7397,2.4359,3.286,3.8076,9.7076,5,0.05624505504,106750.0,5840.0,2.0,34.246575342465746,1.0,372.0,1.0,167.0,4.0,0.0892,0.1357,0.0289,0.1493,0.0399,1.0,653.05795896,32614.457304913212
36061002201,0.1616586011,0.1616586011,8,1.5521,0.2062,0.0559,0.2279,0.5519,2.5941,5,0.23220736725000002,42118.0,6823.0,6.0,87.93785724754507,2.0,130.0,1.0,62.0,0.0,0.1498,0.1975,0.1404,0.2896,0.0761,0.0,753.707439753,42206.22938447536
36061002202,0.0561064413,0.0561064413,4,1.624,0.0755,0.034,0.1833,0.348,2.2649,4,0.12160758705999998,83807.0,2210.0,4.0,180.99547511312213,2.0,76.0,0.0,46.0,0.0,0.0606,0.1764,0.052000000000000005,0.3113,0.0384,0.0,130.748085559,39389.416772722674
36061003602,0.08926171449999999,0.08926171449999999,7,1.5991,1.0734,2.1858,1.7529,2.6105,9.2217,5,0.17772967245000001,53546.0,2795.0,1.0,35.77817531305904,1.0,77.0,0.0,47.0,1.0,0.1041,0.2944,0.1714,0.0934,0.1388,1.0,1160.84231673,31312.416702459825
36061023501,0.17921620300000002,0.17921620300000002,15,0.5789,-0.3158,-0.6515,-0.7171,1.4566,0.3511,3,0.24977995315999998,38678.0,6855.0,5.0,72.93946024799416,0.0,231.0,1.0,56.0,0.0,0.1206,0.2282,0.6203,0.019,0.0795,1.0,862.715330347,38249.88971560791
